# Copyright (C) 1991-2007 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 7.2 Build 151 09/26/2007 SJ Web Edition
# File: D:\Faculdade\IC_VHDL\Developments\Prewitt_Filter_VHDL\PrewittVHDL_1.0\quartus\decod7seg\decod7seg.csv
# Generated on: Fri Aug 24 09:00:55 2012

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,Vref Group,I/O Standard,Reserved,Group
,Unknown,PIN_J20,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_J21,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_F23,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_F24,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_E25,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_E26,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_J22,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_D25,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_D26,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_C24,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_C25,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_B25,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_B24,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_E24,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_E23,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_H21,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_G22,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_G21,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_D23,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_E22,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_F21,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_F20,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_G20,,,3.3-V LVTTL,,
,Unknown,PIN_H20,,,3.3-V LVTTL,,
,Unknown,PIN_E21,,,3.3-V LVTTL,,
,Unknown,PIN_G19,,,3.3-V LVTTL,,
,Unknown,PIN_F19,,,3.3-V LVTTL,,
,Unknown,PIN_C23,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_C22,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_C21,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_D21,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_B23,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_A23,4,B4_N0,3.3-V LVTTL,,
